Date,USO,XLE,XOM,CVX,BWET,LNG,LMT,NOC,RTX,ITA,PLTR,KTOS,GLD,HGER,REMX,SCO,TAIL,SPY,QQQ
2026-03-02,87.19,56.6697,154.22,189.6,73.22,248.93,676.7,768.02,212.16,250.4175,145.17,90.72,490.0,29.25,103.2,12.91,11.5789,684.5106,607.3242
2026-03-03,90.2,56.1531,151.83,188.77,63.5,246.07,667.82,759.11,206.52,244.8211,147.22,88.95,468.14,28.86,94.93,12.44,11.6435,678.4771,600.8224
2026-03-04,91.56,55.8253,149.82,186.03,67.08,248.98,664.48,753.84,208.82,246.8098,153.19,89.13,471.8,29.07,97.86,12.17,11.5441,683.264,609.9809
2026-03-05,96.31,56.1134,150.76,189.9,61.97,249.54,655.0,740.01,203.86,239.8843,152.67,85.54,466.13,29.45,93.4,11.58,11.5739,679.4544,608.1431
2026-03-06,108.77,56.2028,151.21,189.94,57.48,255.15,671.77,756.13,209.76,242.0429,157.16,87.0,473.51,30.31,92.53,10.5,11.7329,670.5487,598.9947
2026-03-09,104.33,55.9544,150.44,189.44,61.68,250.8,664.15,747.34,208.23,241.8331,156.43,92.47,472.53,29.8,94.7,10.61,11.6286,676.4227,606.9946
2026-03-10,105.86,55.2391,148.13,186.29,65.75,245.76,651.22,734.98,207.0,239.5645,151.14,88.96,477.86,30.3,96.49,10.14,11.6236,675.3356,607.0046
2026-03-11,108.05,56.6101,151.58,191.79,73.1,250.32,649.47,733.18,207.26,238.5252,151.6,88.92,476.24,30.9,96.92,9.58,11.5491,674.488,606.9247
2026-03-12,118.39,57.1367,153.53,196.97,62.85,253.84,652.83,736.3,203.04,231.3399,153.5,89.46,466.88,31.2,93.81,8.61,11.6633,664.2459,596.5079
2026-03-13,119.89,57.3255,156.12,196.82,59.56,252.27,646.0,733.71,204.52,229.1912,150.95,87.53,460.84,31.02,89.51,8.51,11.6931,660.4862,592.9723
2026-03-16,115.03,57.5242,157.23,196.84,74.91,251.29,645.2,735.96,206.06,232.659,152.72,89.53,460.43,30.63,90.1,8.75,11.6037,667.2079,599.6239
2026-03-17,118.84,58.1302,158.81,197.97,73.38,251.5,636.33,724.03,203.33,232.9,155.08,95.31,459.27,30.95,90.12,8.34,11.5938,668.963,602.5502
2026-03-18,121.67,58.0507,157.59,198.61,77.51,266.22,642.28,724.84,204.56,231.43,152.77,93.04,444.74,31.15,86.67,7.93,11.7031,659.6285,594.1509
2026-03-19,117.36,58.9747,158.16,201.44,79.87,281.87,637.51,714.15,200.73,227.32,155.68,92.78,426.41,30.67,82.95,8.15,11.713,658.003,592.2732
2026-03-20,121.43,58.925,159.67,201.73,94.11,280.89,627.43,706.95,198.16,222.56,150.68,84.62,413.38,30.7,79.1,7.93,11.76,648.57,581.327
2026-03-23,110.56,59.63,161.13,205.21,92.8,287.2,616.25,680.0,194.82,223.35,160.84,83.69,404.04,29.44,83.63,8.76,11.63,655.38,588.0
2026-03-24,114.54,60.84,165.38,206.79,103.76,294.58,610.17,682.16,194.0,222.64,154.78,77.49,404.13,29.88,84.62,8.21,11.63,653.18,583.98
2026-03-25,113.39,60.57,163.26,205.15,95.64,284.39,624.2,691.21,195.0,225.86,154.96,79.98,416.29,29.89,89.15,8.39,11.62,656.82,587.82
2026-03-26,117.26,61.52,165.43,207.79,112.0,291.4,627.33,691.99,192.85,220.12,147.56,75.86,400.64,30.12,84.6,8.06,11.75,645.09,573.79
2026-03-27,124.2,62.56,170.99,211.15,119.06,296.91,615.84,679.0,189.71,216.04,143.06,71.94,414.7,30.79,86.1,7.83,11.925,634.09,562.58
2026-03-30,129.83,61.96,171.47,210.71,122.32,293.64,598.57,671.59,187.15,210.79,137.55,65.28,414.58,30.96,85.48,7.71,12.01,631.97,558.28
2026-03-31,127.25,61.26,169.66,206.9,98.5,283.76,604.39,682.24,192.9,218.75,146.28,70.51,430.29,31.01,88.0,8.32,11.71,650.34,577.18
2026-04-01,124.09,58.97,160.78,197.41,116.32,275.84,617.64,697.0,194.72,223.64,146.49,67.7,437.82,31.08,88.53,8.79,11.615,655.24,584.31
2026-04-02,137.92,59.25,160.69,198.97,132.01,281.16,622.79,702.5,196.21,221.91,148.46,67.31,429.41,31.27,88.9,8.21,11.625,655.83,584.98
2026-04-06,138.94,59.68,163.37,198.86,140.66,284.05,637.9,695.79,198.41,225.2,147.93,74.09,427.65,31.35,88.44,7.93,11.54,658.93,588.5
2026-04-07,138.08,60.16,163.91,201.54,138.24,284.27,627.7,690.5,197.92,223.3,150.07,71.96,431.81,31.36,89.09,7.9,11.595,659.22,588.59
2026-04-08,124.58,58.05,156.22,192.89,148.22,275.21,628.5,687.47,203.48,232.17,140.76,74.46,434.53,30.96,93.6,8.1,11.35,676.01,606.09
2026-04-09,126.96,57.33,155.04,190.36,169.97,265.77,623.87,690.57,203.19,231.76,130.49,68.33,437.91,30.96,93.2,8.08,11.29,679.91,610.19
2026-04-10,124.82,56.94,152.51,188.55,162.94,265.54,613.72,673.73,201.56,229.64,128.06,70.34,437.13,30.76,94.5,8.07,11.285,679.46,611.07
2026-04-13,128.47,57.11,152.64,191.78,159.05,261.6,619.69,681.31,201.41,232.81,132.37,73.55,435.36,31.03,99.01,7.65,11.23,686.1,617.39
2026-04-14,123.85,55.95,149.24,187.02,147.09,259.68,611.58,680.13,202.81,235.43,135.7,73.66,445.09,31.28,98.8,7.9,11.21,694.46,628.6
2026-04-15,122.59,55.76,149.01,184.91,117.89,256.75,611.1,678.59,198.39,234.0,142.15,74.66,440.46,31.22,97.44,7.8,11.16,699.94,637.4
2026-04-16,125.84,56.58,151.98,188.15,125.28,262.74,607.49,672.77,195.85,229.03,142.76,74.41,440.08,31.38,103.05,7.72,11.14,701.66,640.47
2026-04-17,116.04,55.02,146.44,183.99,148.63,251.07,592.19,665.26,196.42,231.94,146.39,70.99,445.93,30.85,101.63,8.47,11.13,710.14,648.85
2026-04-20,121.32,55.07,147.68,183.25,138.7,252.35,581.28,656.98,195.79,231.85,145.89,69.83,442.09,31.09,103.12,8.03,11.155,708.72,646.79
2026-04-21,128.25,55.87,148.36,185.98,136.27,257.78,571.95,611.13,187.17,223.09,145.97,68.55,429.57,31.29,100.6,7.59,11.14,704.08,644.33
